Latitude,Longitude,geometry
40.720035,-73.99429599999999,POINT (-73.99429599999999 40.720035)
40.774605,-73.95697,POINT (-73.95697 40.774605)
40.736725,-73.931492,POINT (-73.931492 40.736725)
40.827662,-73.945755,POINT (-73.945755 40.827662)
40.695042,-73.903805,POINT (-73.903805 40.695042)
40.688976,-73.981278,POINT (-73.981278 40.688976)
40.74238,-73.854516,POINT (-73.854516 40.74238)
40.620765000000006,-73.97541,POINT (-73.97541 40.620765000000006)
40.732637,-73.954599,POINT (-73.954599 40.732637)
40.754035,-73.884019,POINT (-73.884019 40.754035)
40.889139,-73.90857700000001,POINT (-73.90857700000001 40.889139)
40.69173,-73.86425899999999,POINT (-73.86425899999999 40.69173)
40.519247,-74.19695899999999,POINT (-74.19695899999999 40.519247)
40.714979,-73.750753,POINT (-73.750753 40.714979)
40.712501,-73.897269,POINT (-73.897269 40.712501)
40.839946000000005,-73.843245,POINT (-73.843245 40.839946000000005)
40.576995,-73.950795,POINT (-73.950795 40.576995)
40.632211,-73.72524200000001,POINT (-73.72524200000001 40.632211)
40.74648,-73.766424,POINT (-73.766424 40.74648)
40.60311,-73.74778,POINT (-73.74778 40.60311)
40.893135,-73.85686700000001,POINT (-73.85686700000001 40.893135)
40.68145,-73.953374,POINT (-73.953374 40.68145)
40.620937,-73.98532800000001,POINT (-73.98532800000001 40.620937)
40.841368,-73.92375,POINT (-73.92375 40.841368)
40.785157,-73.805497,POINT (-73.805497 40.785157)
40.754226,-73.897346,POINT (-73.897346 40.754226)
40.840093,-73.905152,POINT (-73.905152 40.840093)
40.658803000000006,-73.923614,POINT (-73.923614 40.658803000000006)
40.76861,-73.892268,POINT (-73.892268 40.76861)
40.624418,-73.965241,POINT (-73.965241 40.624418)
40.635811,-74.07573000000001,POINT (-74.07573000000001 40.635811)
40.866449,-73.83081800000001,POINT (-73.83081800000001 40.866449)
40.690571000000006,-73.824097,POINT (-73.824097 40.690571000000006)
40.768812,-73.967483,POINT (-73.967483 40.768812)
40.696427,-73.899555,POINT (-73.899555 40.696427)
40.767567,-73.98098900000001,POINT (-73.98098900000001 40.767567)
40.848425,-73.937697,POINT (-73.937697 40.848425)
40.685398,-73.829702,POINT (-73.829702 40.685398)
40.59721,-74.068752,POINT (-74.068752 40.59721)
40.831173,-73.90055500000001,POINT (-73.90055500000001 40.831173)
40.695131,-73.842962,POINT (-73.842962 40.695131)
40.62776,-74.07766,POINT (-74.07766 40.62776)
40.670458,-73.820655,POINT (-73.820655 40.670458)
40.826908,-73.946446,POINT (-73.946446 40.826908)
40.660858000000005,-73.96137900000001,POINT (-73.96137900000001 40.660858000000005)
40.749724,-73.938817,POINT (-73.938817 40.749724)
40.865424,-73.851827,POINT (-73.851827 40.865424)
40.709723,-73.83485300000001,POINT (-73.83485300000001 40.709723)
40.853857,-73.907519,POINT (-73.907519 40.853857)
40.707264,-73.835318,POINT (-73.835318 40.707264)
40.675026,-74.00960400000001,POINT (-74.00960400000001 40.675026)
40.733475,-73.781726,POINT (-73.781726 40.733475)
40.806297,-73.967664,POINT (-73.967664 40.806297)
40.849277,-73.916917,POINT (-73.916917 40.849277)
40.705289,-73.79521899999999,POINT (-73.79521899999999 40.705289)
40.827447,-73.88659799999999,POINT (-73.88659799999999 40.827447)
40.67811,-73.985687,POINT (-73.985687 40.67811)
40.742803,-73.82595699999999,POINT (-73.82595699999999 40.742803)
40.708715000000005,-73.779985,POINT (-73.779985 40.708715000000005)
40.726822,-73.792232,POINT (-73.792232 40.726822)
40.769061,-73.91278100000001,POINT (-73.91278100000001 40.769061)
40.791002,-73.845388,POINT (-73.845388 40.791002)
40.840362,-73.917902,POINT (-73.917902 40.840362)
40.642968,-73.87826899999999,POINT (-73.87826899999999 40.642968)
40.696699,-73.938232,POINT (-73.938232 40.696699)
40.865768,-73.823166,POINT (-73.823166 40.865768)
40.673779,-74.011781,POINT (-74.011781 40.673779)
40.826922,-73.87136600000001,POINT (-73.87136600000001 40.826922)
40.565954,-74.100533,POINT (-74.100533 40.565954)
40.690523,-73.743495,POINT (-73.743495 40.690523)
40.8811,-73.838877,POINT (-73.838877 40.8811)
40.611492,-73.937187,POINT (-73.937187 40.611492)
40.700229,-73.925,POINT (-73.925 40.700229)
40.705371,-73.783023,POINT (-73.783023 40.705371)
40.860569,-73.897865,POINT (-73.897865 40.860569)
40.664289,-73.88768,POINT (-73.88768 40.664289)
40.738602,-73.940751,POINT (-73.940751 40.738602)
40.681799,-73.772049,POINT (-73.772049 40.681799)
40.686779,-73.873232,POINT (-73.873232 40.686779)
40.674174,-73.800361,POINT (-73.800361 40.674174)
40.620783,-74.14465200000001,POINT (-74.14465200000001 40.620783)
40.710884,-73.77031099999999,POINT (-73.77031099999999 40.710884)
40.664135,-73.990452,POINT (-73.990452 40.664135)
40.63196,-73.738485,POINT (-73.738485 40.63196)
40.746846000000005,-73.891201,POINT (-73.891201 40.746846000000005)
40.705312,-73.782402,POINT (-73.782402 40.705312)
40.759536,-73.78451700000001,POINT (-73.78451700000001 40.759536)
40.84408,-73.785197,POINT (-73.785197 40.84408)
40.591378000000006,-73.800715,POINT (-73.800715 40.591378000000006)
40.644854,-73.90264,POINT (-73.90264 40.644854)
40.60241,-74.18456,POINT (-74.18456 40.60241)
40.756939,-73.90724300000001,POINT (-73.90724300000001 40.756939)
40.781538,-73.960312,POINT (-73.960312 40.781538)
40.686342,-73.761302,POINT (-73.761302 40.686342)
40.691077,-73.74583299999999,POINT (-73.74583299999999 40.691077)
