Name,Latitude,Longitude,geometry
HIGHLINE BALLROOM,40.74303486465727,-74.00572711889915,POINT (-74.00572711889915 40.74303486465727)
HARLEM YMCA,40.81470932883609,-73.94288624913104,POINT (-73.94288624913104 40.81470932883609)
STEPHEN A SCHWARZMAN BUILDING NY PUBLIC LIBRARY,40.75315009501742,-73.98219384698027,POINT (-73.98219384698027 40.75315009501742)
EDITH AND CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST,40.60626108806454,-73.98975819401576,POINT (-73.98975819401576 40.60626108806454)
STATEN ISLAND HISTORICAL SOCIETY MUSEUM,40.570953457472704,-74.14566897964794,POINT (-74.14566897964794 40.570953457472704)
SOHO PLAYHOUSE,40.7264804878632,-74.00436228010118,POINT (-74.00436228010118 40.7264804878632)
LAURELTON LIBRARY,40.67691759212291,-73.74561144581129,POINT (-73.74561144581129 40.67691759212291)
ANNE FRANK CENTER USA,40.7211354539783,-73.9996308758439,POINT (-73.9996308758439 40.7211354539783)
ST GEORGE LIBRARY CENTER,40.64179934792793,-74.07667836326034,POINT (-74.07667836326034 40.64179934792793)
AMC MAGIC JOHNSON HARLEM 9 THEATRE,40.80971138800985,-73.95178625603924,POINT (-73.95178625603924 40.80971138800985)
GLENDALE LIBRARY,40.70258524585806,-73.87574434742926,POINT (-73.87574434742926 40.70258524585806)
REGO PARK LIBRARY,40.72731835812635,-73.86445890460773,POINT (-73.86445890460773 40.72731835812635)
QUEENS THEATRE IN THE PARK,40.744161726512445,-73.84436627748488,POINT (-73.84436627748488 40.744161726512445)
GRAMERCY THEATRE,40.7398343587358,-73.98495825719759,POINT (-73.98495825719759 40.7398343587358)
BROADHURST THEATRE,40.75822334042331,-73.98765508915673,POINT (-73.98765508915673 40.75822334042331)
STAPLETON LIBRARY,40.62625652271908,-74.0778638563019,POINT (-74.0778638563019 40.626256522719075)
NATIONAL MUSEUM OF MATHEMATICS,40.74329721250752,-73.98737765798496,POINT (-73.98737765798496 40.74329721250752)
