Name,Latitude,Longitude,geometry
ZETA SCHOOL BRONX 3 ELEMENTARY,40.80938053022013,-73.9252817193218,POINT (-73.9252817193218 40.80938053022013)
PS 181 BROOKFIELD,40.65577539894922,-73.75310150325687,POINT (-73.75310150325687 40.65577539894922)
ENERGY TECH HIGH SCHOOL,40.75640032538686,-73.93286129924032,POINT (-73.93286129924032 40.75640032538686)
FRANK MCCOURT HIGH SCHOOL,40.78583209802757,-73.97423468285207,POINT (-73.97423468285207 40.78583209802757)
MATILDA AVENUE SCHOOL,40.90150167388545,-73.85409133622314,POINT (-73.85409133622314 40.90150167388545)
ST JOHN CHRYSOSTOM SCHOOL,40.82733280790342,-73.89070244663738,POINT (-73.89070244663738 40.82733280790342)
METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,40.70839811650363,-73.85605303761595,POINT (-73.85605303761595 40.70839811650363)
ROCKEFELLER UNIVERSITY BRONK LABORATORY,40.76184058820614,-73.95642672348491,POINT (-73.95642672348491 40.76184058820614)
NEW YORK UNIVERSITY MAIL SERVICES,40.72849758442938,-73.99802538287211,POINT (-73.99802538287211 40.728497584429384)
NATIONAL ACADEMY SCHOOL OF FINE ART,40.78331183115122,-73.95822892563002,POINT (-73.95822892563002 40.78331183115122)
LYONS COMMUNITY SCHOOL,40.70997658842731,-73.9440371051621,POINT (-73.9440371051621 40.70997658842731)
BROOKLYN GREEN SCHOOL,40.67447542822467,-73.92809985285157,POINT (-73.92809985285157 40.67447542822467)
NY CONSERVATORY OF MUSIC,40.766503118273285,-73.95853020871712,POINT (-73.95853020871712 40.766503118273285)
SUCCESS ACADEMY CHARTER SCHOOL BED-STUY 2,40.69796137539179,-73.94360059797205,POINT (-73.94360059797205 40.69796137539179)
LIU PHARMACY ARNOLD & MARIE SCHWARTZ COLLEGE OF PHARMACY & HEALTH SCIENCES,40.69083164909557,-73.98024088050298,POINT (-73.98024088050298 40.690831649095564)
PETRIDES SCHOOL BUILDING C,40.6085059251237,-74.1050053066998,POINT (-74.1050053066998 40.6085059251237)
CENTRAL PARK EAST HIGH SCHOOL,40.79374943239569,-73.94868089488197,POINT (-73.94868089488197 40.79374943239569)
GREAT OAKS CHARTER SCHOOL,40.71993698711545,-73.99164313892591,POINT (-73.99164313892591 40.71993698711545)
BROOKLYN LAB SCHOOL,40.69269395639538,-73.86902152447627,POINT (-73.86902152447627 40.69269395639538)
JHS 143 ELEANOR ROOSEVELT,40.8491335494207,-73.93093595314365,POINT (-73.93093595314365 40.8491335494207)
MARITIME COLLEGE WELCOME CENTER,40.80976167645144,-73.80093295510949,POINT (-73.80093295510949 40.809761676451444)
ETHICAL CULTURE FIELDSTON SCHOOL,40.89016045810784,-73.90638262360591,POINT (-73.90638262360591 40.89016045810784)
YESHIVA OF KINGS BAY,40.58936582084604,-73.94318462282165,POINT (-73.94318462282165 40.58936582084604)
GEORGE H MURRAY CHRISTIAN ACADEMY,40.69185098030916,-73.94587263129677,POINT (-73.94587263129677 40.691850980309155)
MARITIME COLLEGE RESIDENCE HALL G,40.80744998791851,-73.79458981734,POINT (-73.79458981734 40.80744998791851)
MANHATTAN COMPREHENSIVE NIGHT & DAY HIGH SCHOOL,40.73272266160678,-73.98433418732877,POINT (-73.98433418732877 40.73272266160678)
ST JOHNS U CELTIC CROSS,40.72125082817,-73.79361334077919,POINT (-73.79361334077919 40.72125082817)
DISCOVERY HIGH SCHOOL,40.87042323358716,-73.89691900115227,POINT (-73.89691900115227 40.87042323358716)
ST ANSELMS SCHOOL,40.81635145449165,-73.90542798722768,POINT (-73.90542798722768 40.81635145449165)
YESHIVA SHAARE TORAH BOYS HIGH SCHOOL,40.60988652637052,-73.96109059229292,POINT (-73.96109059229292 40.60988652637052)
COLUMBIA UNIVERSITY BROADWAY RESIDENCE HALL,40.80608801927475,-73.9648225525669,POINT (-73.9648225525669 40.80608801927475)
MID MANHATTAN ADULT LEARNING CENTER,40.80613905811544,-73.951998472749,POINT (-73.951998472749 40.806139058115434)
WORD CHRISTIAN ACADEMY,40.692478404264456,-73.73115934129578,POINT (-73.73115934129578 40.692478404264456)
PS 9 SARAH ANDERSON,40.78512393897579,-73.97374654101101,POINT (-73.97374654101101 40.78512393897579)
METROPOLITAN MONTESSORI SCHOOL,40.78869515566364,-73.97909419049017,POINT (-73.97909419049017 40.78869515566364)
LAWRENCE AND ERIS FIELD BUILDING,40.73903034633554,-73.98464617870735,POINT (-73.98464617870735 40.73903034633554)
BUSHWICK COMMUNITY HIGH SCHOOL,40.695679175637736,-73.91526543213477,POINT (-73.91526543213477 40.695679175637736)
BRONX CC MEISTER HALL,40.85722441428061,-73.91314947376995,POINT (-73.91314947376995 40.85722441428061)
MARITIME COLLEGE WATER PUMP BLDG,40.809865188048505,-73.80143922005047,POINT (-73.80143922005047 40.809865188048505)
