Name,Latitude,Longitude,geometry
JACOBI MEDICAL CENTER HELIPAD,40.85404322601816,-73.84594561094067,POINT (-73.84594561094067 40.854043226018156)
QUEENS CHILDRENS HOSPITAL BUILDING 55,40.745485837081176,-73.7256659034897,POINT (-73.7256659034897 40.745485837081176)
SEA VIEW HOSPITAL REHABILITATION CENTER & HOME,40.59240929153977,-74.13220324652342,POINT (-74.13220324652342 40.59240929153977)
WEILL CORNELL PSYCHIATRY SPECIALTY CENTER,40.76230457928644,-73.96204618687065,POINT (-73.96204618687065 40.76230457928644)
SUNY DOWNSTATE MEDICAL CENTER,40.65525173848219,-73.94503981667391,POINT (-73.94503981667391 40.65525173848219)
COLUMBIA UNIVERSITY MEDICAL CENTER VIVIAN & SEYMOUR MILSTEIN HEART CENTER,40.84110389218669,-73.94346657774585,POINT (-73.94346657774585 40.84110389218669)
COLUMBIA UNIVERSITY MEDICAL CENTER PRESBYTERIAN HOSPITAL BUILDING,40.84122823182188,-73.940798588854,POINT (-73.940798588854 40.84122823182188)
ROCKEFELLER UNIVERSITY HOSPITAL,40.76188720000074,-73.95569732564111,POINT (-73.95569732564111 40.76188720000074)
STATEN ISLAND MENTAL HEALTH HS OSGOOD AVE,40.61881599577514,-74.08534310512094,POINT (-74.08534310512094 40.61881599577514)
NYS OMH POWER PLANT,40.78536264963814,-73.92722306095357,POINT (-73.92722306095357 40.78536264963814)
SEAVIEW HOSPITAL BUILDING 13,40.59109228837153,-74.13064441204195,POINT (-74.13064441204195 40.59109228837153)
HARLEM HOSPITAL CENTER MURAL PAVILION,40.81486150167014,-73.93975836591103,POINT (-73.93975836591103 40.81486150167014)
MOUNT SINAI WEST HOSPITAL,40.76981378205008,-73.98727334643871,POINT (-73.98727334643871 40.76981378205008)
LENOX HILL HOSPITAL AMBULATORY SURGERY & MEDICAL PAVILION,40.76401013344406,-73.96323850031439,POINT (-73.96323850031439 40.76401013344406)
MTSINAI DOCTORS EAST 34TH STREET,40.74749906565655,-73.98180925179713,POINT (-73.98180925179713 40.74749906565655)
LINCOLN MEDICAL CENTER,40.81732494731305,-73.92420965477325,POINT (-73.92420965477325 40.81732494731305)
SOUTH BEACH PSYCHIATRIC CENTER,40.58287279930185,-74.07850639799813,POINT (-74.07850639799813 40.58287279930185)
ODYSSEY HOUSE HAVEN,40.80061472810129,-73.9359918060631,POINT (-73.9359918060631 40.80061472810129)
CREEDMOOR HOSPITAL,40.74106269541862,-73.7316363560153,POINT (-73.7316363560153 40.74106269541862)
BELLEVUE HOSPITAL CENTER,40.73945977536666,-73.97627819083158,POINT (-73.97627819083158 40.73945977536666)
MEMORIAL SLOANE KETTERING HOSPITAL,40.7645207561996,-73.95673050073778,POINT (-73.95673050073778 40.764520756199595)
NYC DEPT OF HEALTH,40.84109455410344,-73.94027805039909,POINT (-73.94027805039909 40.84109455410344)
BRONX PSYCHIATRIC CENTER STUDIO APARTMENTS,40.8439864227074,-73.83864402262044,POINT (-73.83864402262044 40.8439864227074)
BRONX-LEBANON HOSPITAL CENTER FULTON DIVISION,40.8315232254928,-73.90353104051746,POINT (-73.90353104051746 40.831523225492795)
BRONX PSYCHIATRIC CENTER ELECTRIC SUBSTATION,40.84786703936798,-73.84105976133333,POINT (-73.84105976133333 40.84786703936798)
NEW YORK STATE PSYCHIATRIC INSTITUTE KOLB ANNEX BUILDING,40.84296543354872,-73.94331529485349,POINT (-73.94331529485349 40.84296543354872)
COLUMBIA UNIVERSITY MEDICAL CENTER HERBERT IRVING PAVILION,40.84075363059035,-73.94341511089229,POINT (-73.94341511089229 40.84075363059035)
SAMARITAN DAYTOP VILLAGE,40.62587400765979,-74.15282403934273,POINT (-74.15282403934273 40.62587400765979)
BAYSIDE MEDICAL,40.73422699978832,-73.75428284226918,POINT (-73.75428284226918 40.73422699978832)
SOUTH BRONX MENTAL HEALTH COUNCIL COMMUNITY MENTAL HEALTH CENTER,40.807560483637936,-73.90895419318777,POINT (-73.90895419318777 40.807560483637936)
MT SINAI DOCTORS FACULTY PRACTICE ASSOCIATES,40.78911530772812,-73.95403938304729,POINT (-73.95403938304729 40.78911530772812)
HOSPITAL FOR SPECIAL SURGERY INTEGRATIVE CARE CENTER,40.763637665950434,-73.97100793658778,POINT (-73.97100793658778 40.763637665950434)
LUTHERAN MEDICAL CENTER,40.64659525250986,-74.02101807535021,POINT (-74.02101807535021 40.64659525250986)
ST LUKE'S HOSPITAL,40.80563100432197,-73.96143860021722,POINT (-73.96143860021722 40.80563100432197)
CLAY AVENUE FAMILY HEALTH CARE CENTER,40.84630674320836,-73.90439577761722,POINT (-73.90439577761722 40.84630674320836)
BRONX PSYCHIATRIC CENTER ADULT FACILITY,40.84865528401215,-73.83948768671036,POINT (-73.83948768671036 40.84865528401215)
CUMBERLAND DIAGNOSTIC & TREATMENT CENTER,40.69526450924864,-73.97652450634375,POINT (-73.97652450634375 40.69526450924864)
JACOBI HOSPITAL NURSES RESIDENCE,40.85460753331964,-73.84655409292799,POINT (-73.84655409292799 40.85460753331964)
HARLEM HOSPITAL CENTER,40.81438651658628,-73.93900625106635,POINT (-73.93900625106635 40.814386516586275)
DAVITA SOUTH BRONX DIALYSIS CENTER,40.84870248964026,-73.90005875462425,POINT (-73.90005875462425 40.84870248964026)
RICHMOND UNIVERSITY MEDICAL CENTER MAIN CAMPUS,40.63577189454755,-74.10589828601431,POINT (-74.10589828601431 40.63577189454755)
ARTHUR J ANTENUCCI MEDICAL RESEARCH BUILDING,40.76894594744532,-73.98649276138043,POINT (-73.98649276138043 40.76894594744532)
CALVARY HOSPITAL,40.84787169856329,-73.84411652695184,POINT (-73.84411652695184 40.84787169856329)
BETH ISRAEL MEDICAL CENTER PHILLIPS AMBULATORY CARE CENTER,40.73480363696429,-73.98959005951185,POINT (-73.98959005951185 40.73480363696429)
COLUMBIA UNIVERSITY RUSS BERRIE MEDICAL SCIENCE PAVILION,40.84049001467713,-73.93929228405197,POINT (-73.93929228405197 40.84049001467713)
JACOBI HOSPITAL STOREHOUSE,40.85479801555246,-73.84472438898077,POINT (-73.84472438898077 40.85479801555246)
NEW YORK HOSPITAL QUEENS,40.74707684448767,-73.82538986448581,POINT (-73.82538986448581 40.74707684448767)
KCH B BLDG,40.65631092724972,-73.94464836787485,POINT (-73.94464836787485 40.65631092724972)
NYC HEALTH + HOSPITALS QUEENS,40.71700460075349,-73.80431936594631,POINT (-73.80431936594631 40.71700460075349)
NYS OMH MAINTENANCE WORK CONTROL BUILDING,40.78614527456093,-73.9269701031182,POINT (-73.9269701031182 40.78614527456093)
NYS OFFICE OF MENTAL HEALTH CMPX,40.78878061825736,-73.9301904324092,POINT (-73.9301904324092 40.78878061825736)
