Name,Latitude,Longitude,geometry
WEST 4 ST COURTS,40.73118576629695,-74.00096617325453,POINT (-74.00096617325453 40.73118576629695)
PS 69 PLAYGROUND,40.632340331575584,-74.01002938811894,POINT (-74.01002938811894 40.632340331575584)
LINCOLN TERRACE PARK TENNIS COURTS,40.66694246444663,-73.92519741077236,POINT (-73.92519741077236 40.66694246444663)
ROY A SWEENEY CRICKET OVAL,40.64857844150216,-73.87340565715427,POINT (-73.87340565715427 40.64857844150216)
ASHFORD STREET ABUNDANT GARDEN,40.674384416687474,-73.88542328715191,POINT (-73.88542328715191 40.674384416687474)
JARDIN DE LA FAMILIA GARDEN,40.83795008391804,-73.90361049028162,POINT (-73.90361049028162 40.83795008391804)
SUNKEN MEADOW FIELD 12,40.79584996477655,-73.91822624900907,POINT (-73.91822624900907 40.79584996477655)
LINDOWER PARK BASKETBALL COURTS,40.61306384538072,-73.91180344721266,POINT (-73.91180344721266 40.61306384538072)
CORONA GOLF PLAYGROUND HANDBALL COURT,40.74760893812071,-73.85450647305942,POINT (-73.85450647305942 40.747608938120706)
BRONX ZOO-DANCING CRANE CAFE,40.849785820127416,-73.88058237986073,POINT (-73.88058237986073 40.849785820127416)
SLOPE PARK PLAYGROUND,40.661288337582334,-73.9894873250457,POINT (-73.9894873250457 40.661288337582334)
SOUTH BEACH WETLANDS,40.58717757915209,-74.07288476912662,POINT (-74.07288476912662 40.58717757915209)
HUTCHINSON RIVER PARKWAY MALLS,40.851252225902975,-73.8358553290682,POINT (-73.8358553290682 40.851252225902975)
HIGHBRIDGE PARK MEADOW,40.842775576518704,-73.93248186852523,POINT (-73.93248186852523 40.842775576518704)
FLUSHING MEADOW PARK STOREHOUSE,40.75282725268821,-73.8374999302328,POINT (-73.8374999302328 40.75282725268821)
CENTRAL PARK DIANA ROSS PLAYGROUND,40.78223782231233,-73.97095638922184,POINT (-73.97095638922184 40.78223782231233)
HOUSTON PLAYGROUND,40.67216185967115,-73.90509950899704,POINT (-73.90509950899704 40.67216185967115)
GRAND FERRY PARK,40.71661585577866,-73.96698442095771,POINT (-73.96698442095771 40.71661585577866)
SPIRIT PLAYGROUND,40.7612279643407,-73.94157824453524,POINT (-73.94157824453524 40.7612279643407)
GARDEN OF LIFE,40.843536463977934,-73.90800894850724,POINT (-73.90800894850724 40.843536463977934)
REDFERN PLAYGROUND,40.61150546384053,-73.74953886926764,POINT (-73.74953886926764 40.61150546384053)
STORY PLAYGROUND,40.82306601267481,-73.86287691940775,POINT (-73.86287691940775 40.82306601267481)
STATEN ISLAND ZOO CHILDRENS CTR BARN,40.6249358727467,-74.11632731901874,POINT (-74.11632731901874 40.6249358727467)
CENTRAL PARK SHEEP MEADOW S,40.77075607058864,-73.97585662091075,POINT (-73.97585662091075 40.77075607058864)
LITTLE FLOWER PLAYGROUND,40.71251496631956,-73.9882146433558,POINT (-73.9882146433558 40.71251496631956)
QUEENSBRIDGE PARK COMFORT STATION,40.75513003464752,-73.94959106039343,POINT (-73.94959106039343 40.75513003464752)
MCCARREN PARK POOL,40.72016218178411,-73.94956070707991,POINT (-73.94956070707991 40.72016218178411)
BOONE SLOPE,40.83751673458888,-73.88223259186053,POINT (-73.88223259186053 40.83751673458888)
HESTER STREET PLAYGROUND,40.71745696454089,-73.99373355025357,POINT (-73.99373355025357 40.71745696454089)
ORCHARD BEACH NORTH MENS COMFORT STATION,40.86886768210051,-73.7918782203732,POINT (-73.7918782203732 40.86886768210051)
CROTONA PLAYGROUND 4,40.838296802647776,-73.8896223037562,POINT (-73.8896223037562 40.838296802647776)
MARBLE HILL PLAYGROUND,40.87770939358366,-73.90804145488599,POINT (-73.90804145488599 40.87770939358366)
WINGATE PARK COMFORT STATION,40.659228225160646,-73.94462390224352,POINT (-73.94462390224352 40.659228225160646)
DITMARS PARK,40.77160657205116,-73.9071563033019,POINT (-73.9071563033019 40.771606572051155)
NEW YORK AQUARIUM PARKING LOT,40.57476420766599,-73.97610631195587,POINT (-73.97610631195587 40.57476420766599)
PARK AT BEACH 108 STREET,40.58398948800571,-73.83150898214032,POINT (-73.83150898214032 40.58398948800571)
GREEN CENTRAL KNOLL PLAYGROUND,40.7024496551685,-73.9332067772279,POINT (-73.9332067772279 40.7024496551685)
QUEENS BOTANICAL GARDEN EDUCATION BUILDING,40.75072643174647,-73.82886265964633,POINT (-73.82886265964633 40.750726431746465)
COLONY CLUB,40.76507739714024,-73.96857879737412,POINT (-73.96857879737412 40.76507739714024)
CHARLES M LEE TRIANGLE,40.85590361323666,-73.8608464086443,POINT (-73.8608464086443 40.85590361323666)
BRONX ZOO FRIENDS OF THE ZOO BUILDING,40.85261887352183,-73.87772333922973,POINT (-73.87772333922973 40.85261887352183)
JACKSON POND PLAYGROUND,40.70096381889481,-73.84297685878482,POINT (-73.84297685878482 40.70096381889481)
MARIA HERNANDEZ PARK COMFORT STATION,40.70299649893837,-73.92403357570487,POINT (-73.92403357570487 40.70299649893837)
PLAYGROUND OF THE AMERICAS,40.72802530251319,-74.00272634644854,POINT (-74.00272634644854 40.72802530251319)
TRUMP GOLF LINKS AT FERRY POINT CLUB HOUSE,40.81091111437504,-73.83366015514645,POINT (-73.83366015514645 40.81091111437504)
DYKER BEACH PARK BOCCE CRTS REAR,40.6127606762523,-74.01346882011077,POINT (-74.01346882011077 40.6127606762523)
CARRIE MCCRACKEN TRUCE GARDEN,40.80457827442747,-73.95308349827266,POINT (-73.95308349827266 40.80457827442747)
