Name,Latitude,Longitude,geometry
FELLOWSHIP BAPTIST CHURCH,40.63731682494576,-74.16111718887747,POINT (-74.16111718887747 40.63731682494576)
ST THOMAS AQUINAS CHURCH PARK SLOPE,40.67041117148192,-73.9882644990307,POINT (-73.9882644990307 40.670411171481916)
MARYS NATIVITY ST ANN RC CHURCH,40.75370257819912,-73.81349850773606,POINT (-73.81349850773606 40.75370257819912)
HOLY FAMILY CHURCH,40.82951047242402,-73.85110826782898,POINT (-73.85110826782898 40.82951047242402)
NEW LIFE SEVENTH DAY ADVENTIST CHURCH,40.6586774047228,-73.91059353449064,POINT (-73.91059353449064 40.6586774047228)
SALVATION TABERNACLE CHURCH,40.69456665408798,-73.81038869364141,POINT (-73.81038869364141 40.69456665408798)
BIBLE HOLINESS CHURCH,40.63706361316307,-73.9482954816917,POINT (-73.9482954816917 40.63706361316307)
FLATBUSH TOMPKINS CONGREGATIONAL CHURCH,40.64023399399408,-73.96073657896225,POINT (-73.96073657896225 40.64023399399408)
REDEEMER LUTHERAN CHURCH,40.89701177909888,-73.85158255292899,POINT (-73.85158255292899 40.89701177909888)
HOLY TRINITY UKRAINIAN CHURCH,40.719821491926375,-73.99563201344512,POINT (-73.99563201344512 40.719821491926375)
LIGHT IN THE DARK CHRISTIAN CENTER,40.692978737722974,-73.8595091838318,POINT (-73.8595091838318 40.692978737722974)
HOLY CROSS GREEK ORTHO CHURCH,40.6253632641005,-74.0328063667456,POINT (-74.0328063667456 40.6253632641005)
CONGREGATION OHEL YITZCHAK,40.72838343859049,-73.82600046553303,POINT (-73.82600046553303 40.72838343859049)
KNESES ISREAL CONGREGATION,40.57606302505651,-74.00566903386142,POINT (-74.00566903386142 40.57606302505651)
BETH EL METHODIST CHURCH,40.67792594233908,-73.95262129161677,POINT (-73.95262129161677 40.67792594233908)
CROSSROADS 7 DAY ADVENTIST CHURCH,40.760504504931525,-73.99207449615835,POINT (-73.99207449615835 40.760504504931525)
FORGIVENESS ASSEMBLY CHURCH,40.70424752419526,-73.81271090895176,POINT (-73.81271090895176 40.70424752419526)
BRIDGE STREET AME CHURCH,40.68516593585501,-73.93218854799031,POINT (-73.93218854799031 40.685165935855004)
FIRST CHURCH OF GOD JAMAICA,40.69425824647608,-73.78555850036129,POINT (-73.78555850036129 40.694258246476075)
RAMAKRISHNA VIVEKANANDA CENTER,40.78628531433346,-73.95558779568101,POINT (-73.95558779568101 40.78628531433346)
UNION TEMPLE BROOKLYN,40.67330905065148,-73.9681005308561,POINT (-73.9681005308561 40.67330905065148)
BEDFORD PARK CONGREGATION CHURCH,40.87143612506946,-73.88330203296843,POINT (-73.88330203296843 40.87143612506946)
BENSONHURST JEWISH COMMUNITY,40.61392142087918,-73.97801507207112,POINT (-73.97801507207112 40.61392142087918)
GLORY OF CHRIST CHURCH,40.8325721145002,-73.85285568903707,POINT (-73.85285568903707 40.8325721145002)
EMANUEL BAPTIST CHURCH,40.79799099226134,-73.93558604813471,POINT (-73.93558604813471 40.79799099226134)
EAST END TEMPLE,40.73462459409339,-73.98387448465321,POINT (-73.98387448465321 40.73462459409339)
GRACE DELIVERANCE TABERNACLE CHURCH,40.65080302570207,-73.91828483362288,POINT (-73.91828483362288 40.65080302570207)
SACRED HEART CHURCH,40.69670694645885,-73.97211941499098,POINT (-73.97211941499098 40.69670694645885)
ST LUKES LUTHERAN CHURCH,40.75992078317353,-73.98865677156101,POINT (-73.98865677156101 40.75992078317353)
ST CATHERINE ALEXANDRIA CHURCH,40.642173719396894,-73.99133934409579,POINT (-73.99133934409579 40.642173719396894)
LA HERMOSA CHRISTIAN CHURCH,40.797323752077936,-73.94962095265875,POINT (-73.94962095265875 40.797323752077936)
