Latitude,Longitude,geometry
40.619589000000005,-73.998864,POINT (-73.998864 40.619589000000005)
40.650782,-73.975776,POINT (-73.975776 40.650782)
40.689627,-73.95352199999999,POINT (-73.95352199999999 40.689627)
40.678340000000006,-73.911946,POINT (-73.911946 40.678340000000006)
40.808719,-73.907657,POINT (-73.907657 40.808719)
40.710668,-74.01102900000001,POINT (-74.01102900000001 40.710668)
40.5993,-73.955929,POINT (-73.955929 40.5993)
40.70722,-74.01334200000001,POINT (-74.01334200000001 40.70722)
40.749669,-73.898453,POINT (-73.898453 40.749669)
40.857192,-73.867615,POINT (-73.867615 40.857192)
40.8883,-73.830834,POINT (-73.830834 40.8883)
40.873244,-73.88713800000001,POINT (-73.88713800000001 40.873244)
40.719527,-74.001775,POINT (-74.001775 40.719527)
40.839306,-73.9134,POINT (-73.9134 40.839306)
40.820421,-73.936245,POINT (-73.936245 40.820421)
40.706607,-73.922913,POINT (-73.922913 40.706607)
40.655292,-73.961495,POINT (-73.961495 40.655292)
40.683263,-73.965838,POINT (-73.965838 40.683263)
40.661453,-73.916327,POINT (-73.916327 40.661453)
40.784318,-73.947152,POINT (-73.947152 40.784318)
40.68141,-73.880039,POINT (-73.880039 40.68141)
40.592374,-73.788522,POINT (-73.788522 40.592374)
40.711926,-73.94067,POINT (-73.94067 40.711926)
40.874561,-73.90983100000001,POINT (-73.90983100000001 40.874561)
40.807722,-73.96410999999999,POINT (-73.96410999999999 40.807722)
40.803967,-73.966847,POINT (-73.966847 40.803967)
40.576127,-73.975939,POINT (-73.975939 40.576127)
40.512764,-74.251961,POINT (-74.251961 40.512764)
40.757552,-73.96905500000001,POINT (-73.96905500000001 40.757552)
40.678334,-73.905316,POINT (-73.905316 40.678334)
40.635064,-74.011719,POINT (-74.011719 40.635064)
40.759901,-73.984139,POINT (-73.984139 40.759901)
40.69943,-73.912385,POINT (-73.912385 40.69943)
40.597473,-73.979137,POINT (-73.979137 40.597473)
40.54046,-74.178217,POINT (-74.178217 40.54046)
40.660397,-73.998091,POINT (-73.998091 40.660397)
40.703869,-73.947408,POINT (-73.947408 40.703869)
40.856093,-73.900741,POINT (-73.900741 40.856093)
40.643748,-74.073643,POINT (-74.073643 40.643748)
40.785868,-73.96891600000001,POINT (-73.96891600000001 40.785868)
40.620769,-73.975264,POINT (-73.975264 40.620769)
40.836013,-73.939892,POINT (-73.939892 40.836013)
40.603995,-73.75540500000001,POINT (-73.75540500000001 40.603995)
40.603217,-73.97236099999999,POINT (-73.97236099999999 40.603217)
40.777891,-73.951787,POINT (-73.951787 40.777891)
40.666235,-73.884079,POINT (-73.884079 40.666235)
40.68138,-73.956848,POINT (-73.956848 40.68138)
40.893193,-73.857473,POINT (-73.857473 40.893193)
40.700492,-73.828294,POINT (-73.828294 40.700492)
40.75173,-73.855334,POINT (-73.855334 40.75173)
40.732338,-74.000495,POINT (-74.000495 40.732338)
40.826551,-73.95036,POINT (-73.95036 40.826551)
40.791642,-73.96469599999999,POINT (-73.96469599999999 40.791642)
40.805085,-73.954882,POINT (-73.954882 40.805085)
40.746081,-73.982076,POINT (-73.982076 40.746081)
40.708359,-73.957757,POINT (-73.957757 40.708359)
40.728251,-74.005367,POINT (-74.005367 40.728251)
40.768247,-73.98192900000001,POINT (-73.98192900000001 40.768247)
40.63626,-73.994791,POINT (-73.994791 40.63626)
40.631386,-74.005351,POINT (-74.005351 40.631386)
40.704817,-74.014065,POINT (-74.014065 40.704817)
40.864621,-73.91882199999999,POINT (-73.91882199999999 40.864621)
40.804138,-73.93759399999999,POINT (-73.93759399999999 40.804138)
40.834255,-73.85122199999999,POINT (-73.85122199999999 40.834255)
40.718803,-74.00019300000001,POINT (-74.00019300000001 40.718803)
40.775036,-73.91203399999999,POINT (-73.91203399999999 40.775036)
40.868072,-73.919899,POINT (-73.919899 40.868072)
40.665449,-73.889395,POINT (-73.889395 40.665449)
40.718331,-73.837324,POINT (-73.837324 40.718331)
40.697207,-73.93565699999999,POINT (-73.93565699999999 40.697207)
40.756879,-73.92074000000001,POINT (-73.92074000000001 40.756879)
40.859022,-73.93418,POINT (-73.93418 40.859022)
40.752287,-73.993391,POINT (-73.993391 40.752287)
40.67413,-73.88075,POINT (-73.88075 40.67413)
40.670343,-73.959245,POINT (-73.959245 40.670343)
40.753821,-73.98196300000001,POINT (-73.98196300000001 40.753821)
40.746848,-73.89139399999999,POINT (-73.89139399999999 40.746848)
40.740893,-74.00169,POINT (-74.00169 40.740893)
40.718267,-73.993753,POINT (-73.993753 40.718267)
40.68963,-73.92227,POINT (-73.92227 40.68963)
40.840075,-73.91779100000001,POINT (-73.91779100000001 40.840075)
40.667883,-73.950683,POINT (-73.950683 40.667883)
40.739864,-73.986599,POINT (-73.986599 40.739864)
40.77362,-73.959874,POINT (-73.959874 40.77362)
40.580903,-73.835592,POINT (-73.835592 40.580903)
40.747659000000006,-73.883697,POINT (-73.883697 40.747659000000006)
40.848828000000005,-73.86845699999999,POINT (-73.86845699999999 40.848828000000005)
40.768141,-73.96387,POINT (-73.96387 40.768141)
40.829993,-73.891865,POINT (-73.891865 40.829993)
40.703087,-74.01299399999999,POINT (-74.01299399999999 40.703087)
40.674772,-73.957624,POINT (-73.957624 40.674772)
40.847391,-73.939704,POINT (-73.939704 40.847391)
40.590927,-73.796924,POINT (-73.796924 40.590927)
40.81841,-73.92671800000001,POINT (-73.92671800000001 40.81841)
40.855225,-73.929412,POINT (-73.929412 40.855225)
40.746325,-73.896403,POINT (-73.896403 40.746325)
40.816104,-73.896435,POINT (-73.896435 40.816104)
40.700377,-73.950234,POINT (-73.950234 40.700377)
40.883895,-73.862633,POINT (-73.862633 40.883895)
40.658733000000005,-73.899232,POINT (-73.899232 40.658733000000005)
