listing_id,listing_url,last_scraped,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,borough,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,geometry
934510271997172189,https://www.airbnb.com/rooms/934510271997172189,2024-09-05,107434423,2016-12-16,within an hour,100%,96%,f,4494.0,4784.0,"['email', 'phone', 'work_email']",t,t,Manhattan,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Dishwasher"", ""Crib"", ""Elevator"", ""TV"", ""Smoke alarm"", ""Cooking basics"", ""Heating"", ""Refrigerator"", ""Long term stays allowed"", ""Kitchen"", ""Hair dryer"", ""Hot water"", ""Iron"", ""Private entrance"", ""Microwave"", ""Essentials"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Bed linens"", ""Hangers"", ""Shampoo"", ""Dryer \u2013\u00a0In unit"", ""High chair"", ""Oven"", ""Lockbox"", ""Self check-in"", ""Coffee maker"", ""Washer \u2013\u00a0In unit"", ""Air conditioning"", ""Wifi""]",$426.00,31,1125,31.0,365.0,1125.0,1125.0,34.8,1125.0,0,0,0,111,0,0,0,,,,,,,,,,t,876,876,0,0,,POINT (-73.988651 40.730657)
1131177509430293941,https://www.airbnb.com/rooms/1131177509430293941,2024-09-05,475766934,2022-08-19,within an hour,100%,100%,f,7.0,7.0,"['email', 'phone']",t,f,Manhattan,Private room in resort,Private room,2,1.0,1 bath,0.0,1.0,"[""Elevator"", ""Mini fridge"", ""TV"", ""Smoke alarm"", ""Resort access"", ""Heating"", ""Long term stays allowed"", ""Ceiling fan"", ""Paid parking on premises"", ""Safe"", ""Hair dryer"", ""Body soap"", ""Iron"", ""Fire extinguisher"", ""Essentials"", ""Carbon monoxide alarm"", ""Bed linens"", ""Hangers"", ""Shampoo"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""First aid kit"", ""Coffee maker"", ""Air conditioning"", ""Wifi""]",$856.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,0,13,37,262,0,0,0,,,,,,,,,,t,7,0,7,0,,POINT (-73.9797104 40.762455)
5979675,https://www.airbnb.com/rooms/5979675,2024-09-04,7039396,2013-06-21,within a few hours,100%,100%,t,1.0,4.0,"['email', 'phone']",t,t,Brooklyn,Private room in rental unit,Private room,2,1.0,1 bath,1.0,2.0,"[""Stove"", ""Smoke alarm"", ""Cooking basics"", ""Heating"", ""Refrigerator"", ""Private living room"", ""Long term stays allowed"", ""TV with standard cable"", ""Kitchen"", ""Hair dryer"", ""Hot water"", ""Free street parking"", ""Iron"", ""Microwave"", ""Essentials"", ""Host greets you"", ""Carbon monoxide alarm"", ""Bed linens"", ""Hangers"", ""Shampoo"", ""Dishes and silverware"", ""Oven"", ""Extra pillows and blankets"", ""First aid kit"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Air conditioning"", ""Wifi""]",$79.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,30,60,90,365,352,9,0,2015-05-24,2023-12-09,4.86,4.88,4.84,4.89,4.94,4.65,4.8,f,1,0,1,0,3.11,POINT (-73.88786 40.68088)
6477558,https://www.airbnb.com/rooms/6477558,2024-09-05,17770287,2014-07-07,within an hour,100%,83%,f,12.0,19.0,"['email', 'phone']",t,t,Manhattan,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,3.0,"[""TV"", ""Stove"", ""Smoke alarm"", ""Cooking basics"", ""Heating"", ""Exterior security cameras on property"", ""Refrigerator"", ""Kitchen"", ""Hot water"", ""Essentials"", ""Carbon monoxide alarm"", ""Bed linens"", ""Oven"", ""Dedicated workspace"", ""Lockbox"", ""Extra pillows and blankets"", ""Self check-in"", ""Air conditioning"", ""Wifi""]",$150.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,257,14,0,0,2016-04-30,2023-05-13,4.07,4.36,4.14,4.29,4.43,4.71,3.86,f,12,12,0,0,0.14,POINT (-73.98125 40.74929)
1217429430116095120,https://www.airbnb.com/rooms/1217429430116095120,2024-09-05,35491667,2015-06-10,within an hour,96%,94%,t,103.0,108.0,"['email', 'phone']",t,t,Manhattan,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Clothing storage: closet"", ""Mini fridge"", ""Smoke alarm"", ""Washer"", ""Kitchenette"", ""Exterior security cameras on property"", ""Shower gel"", ""Conditioner"", ""Free street parking"", ""Hot water"", ""Carbon monoxide alarm"", ""Bed linens"", ""Radiant heating"", ""Hangers"", ""Shampoo"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Wifi"", ""Paid dryer \u2013 In building""]",$49.00,30,175,30.0,30.0,175.0,175.0,30.0,175.0,0,0,0,247,0,0,0,,,,,,,,,,f,101,101,0,0,,POINT (-73.99098889999999 40.7596713)
1020253934131742516,https://www.airbnb.com/rooms/1020253934131742516,2024-02-06,444681334,2022-02-11,within an hour,100%,100%,,9.0,12.0,"['email', 'phone']",t,t,Manhattan,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,"[""Body soap"", ""Room-darkening shades"", ""Iron"", ""Lock on bedroom door"", ""Essentials"", ""Dishes and silverware"", ""Cleaning products"", ""Hot water"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Smoke alarm"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Hangers"", ""Radiant heating"", ""Clothing storage: wardrobe"", ""Air conditioning"", ""Dedicated workspace"", ""Kitchen""]",$83.00,4,30,4.0,4.0,30.0,30.0,4.0,30.0,10,36,47,77,4,4,1,2023-11-17,2024-01-23,4.5,4.5,4.25,4.0,4.5,4.5,4.75,t,2,0,2,0,1.46,POINT (-73.99145 40.71249)
856334958557419965,https://www.airbnb.com/rooms/856334958557419965,2024-09-04,26305656,2015-01-18,within a day,100%,,f,1.0,1.0,"['email', 'phone', 'work_email']",t,t,Brooklyn,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,1.0,"[""Keypad"", ""TV"", ""Smoke alarm"", ""Exterior security cameras on property"", ""Long term stays allowed"", ""Kitchen"", ""Hair dryer"", ""Hot water"", ""Fire extinguisher"", ""Essentials"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Hangers"", ""Shampoo"", ""Dedicated workspace"", ""Self check-in"", ""First aid kit"", ""Luggage dropoff allowed"", ""Heating - split type ductless system"", ""Air conditioning"", ""Wifi""]",$152.00,30,31,30.0,30.0,31.0,31.0,30.0,31.0,28,58,88,178,0,0,0,,,,,,,,,,f,1,0,1,0,,POINT (-73.94914 40.68816)
1191404739326003541,https://www.airbnb.com/rooms/1191404739326003541,2024-09-04,396940563,2021-04-14,within an hour,100%,88%,t,3.0,5.0,"['email', 'phone']",t,t,Brooklyn,Entire townhouse,Entire home/apt,9,2.0,2 baths,3.0,4.0,"[""Cleaning products"", ""Dining table"", ""TV"", ""Stove"", ""Smoke alarm"", ""Rice maker"", ""Patio or balcony"", ""Cooking basics"", ""Heating"", ""Exterior security cameras on property"", ""Coffee maker: Keurig coffee machine"", ""Shower gel"", ""Coffee"", ""Outdoor furniture"", ""Outdoor dining area"", ""Hot water kettle"", ""Refrigerator"", ""Long term stays allowed"", ""Conditioner"", ""Backyard"", ""Kitchen"", ""Hair dryer"", ""Hot water"", ""Body soap"", ""Room-darkening shades"", ""Iron"", ""Private entrance"", ""Free street parking"", ""Fire extinguisher"", ""Wine glasses"", ""Microwave"", ""Essentials"", ""Trash compactor"", ""Laundromat nearby"", ""Carbon monoxide alarm"", ""Cleaning available during stay"", ""Children\u2019s dinnerware"", ""Bed linens"", ""Freezer"", ""Toaster"", ""Window guards"", ""Hangers"", ""Shampoo"", ""Dishes and silverware"", ""Oven"", ""Dedicated workspace"", ""Bathtub"", ""Baking sheet"", ""Lockbox"", ""Extra pillows and blankets"", ""Self check-in"", ""First aid kit"", ""Luggage dropoff allowed"", ""Clothing storage"", ""Blender"", ""Air conditioning"", ""Wifi""]",$135.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,0,18,48,323,0,0,0,,,,,,,,,,f,3,2,1,0,,POINT (-74.0237341432187 40.636329168226325)
42536123,https://www.airbnb.com/rooms/42536123,2024-09-04,3261533,2012-08-14,within a day,100%,67%,t,3.0,3.0,"['email', 'phone']",t,t,Brooklyn,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Dishwasher"", ""Cleaning products"", ""TV"", ""Smoke alarm"", ""Washer"", ""Gaggenau gas stove"", ""Fast wifi \u2013 446 Mbps"", ""Cooking basics"", ""Heating"", ""Exterior security cameras on property"", ""Coffee"", ""Shower gel"", ""Hot water kettle"", ""Single oven"", ""Refrigerator"", ""Conditioner"", ""Kitchen"", ""Hair dryer"", ""Hot water"", ""Body soap"", ""Room-darkening shades"", ""Dryer"", ""Iron"", ""Free street parking"", ""Clothing storage: walk-in closet and dresser"", ""Fire extinguisher"", ""Wine glasses"", ""Microwave"", ""Essentials"", ""Carbon monoxide alarm"", ""Bed linens"", ""Freezer"", ""Toaster"", ""Hangers"", ""Shampoo"", ""Dishes and silverware"", ""Baking sheet"", ""First aid kit"", ""Blender"", ""Coffee maker"", ""Portable air conditioning""]",$105.00,32,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,0,0,0,151,6,4,1,2021-08-21,2024-08-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,3,0,0,0.16,POINT (-73.94757 40.67859)
694958372781022948,https://www.airbnb.com/rooms/694958372781022948,2024-09-04,436580929,2021-12-19,within a few hours,70%,53%,f,4.0,4.0,['phone'],t,t,Bronx,Entire condo,Entire home/apt,3,1.0,1 bath,2.0,2.0,"[""Mosquito net"", ""Cleaning products"", ""Elevator"", ""Mini fridge"", ""Smoke alarm"", ""Window AC unit"", ""Ge stainless steel oven"", ""Central air conditioning"", ""HDTV with Apple TV"", ""Cooking basics"", ""Heating"", ""Ge refrigerator"", ""Hot water kettle"", ""Long term stays allowed"", ""Free residential garage on premises"", ""Ethernet connection"", ""Kitchen"", ""Room-darkening shades"", ""Free street parking"", ""Iron"", ""Private entrance"", ""Wine glasses"", ""Microwave"", ""Essentials"", ""Trash compactor"", ""Laundromat nearby"", ""Ge stove"", ""Carbon monoxide alarm"", ""Cleaning available during stay"", ""Pets allowed"", ""Bed linens"", ""Freezer"", ""Toaster"", ""Hangers"", ""Paid street parking off premises"", ""Dishes and silverware"", ""Dedicated workspace"", ""Private hot tub"", ""Extra pillows and blankets"", ""Coffee maker: drip coffee maker"", ""Luggage dropoff allowed"", ""Blender"", ""Dining table"", ""City skyline view""]",$100.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,30,60,90,365,2,0,0,2022-10-11,2023-04-17,3.0,3.0,3.0,4.0,4.5,5.0,3.0,f,1,1,0,0,0.09,POINT (-73.88489 40.87546)
