CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column
280418681,71,BROOKLYN,01/09/2024,13:00:00,01/09/2024,13:15:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,(null),PATROL BORO BKLYN SOUTH,661.0,"LEWDNESS,PUBLIC",RESIDENCE - APT. HOUSE,01/12/2024,(null),25-44,BLACK,M,,25-44,UNKNOWN,F,999349.0,180852.0,40.663062,-73.945575,"(40.663062, -73.945575)",POINT (-73.945575 40.663062)
286892141,48,BRONX,05/14/2024,22:40:00,05/14/2024,22:45:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,344,MISDEMEANOR,FRONT OF,ASSAULT 3 & RELATED OFFENSES,(null),PATROL BORO BRONX,113.0,"MENACING,UNCLASSIFIED",(null),05/14/2024,(null),18-24,BLACK HISPANIC,M,,25-44,BLACK HISPANIC,M,1015430.0,248836.0,40.849619,-73.887294,"(40.849619, -73.887294)",POINT (-73.887294 40.849619)
281214447,71,BROOKLYN,01/27/2024,14:30:00,01/27/2024,14:32:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,FRONT OF,GRAND LARCENY,(null),PATROL BORO BKLYN SOUTH,419.0,"LARCENY,GRAND FROM PERSON,UNCL",STREET,01/27/2024,(null),<18,BLACK,M,,<18,BLACK,M,995868.0,178188.0,40.655755,-73.958125,"(40.655755, -73.958125)",POINT (-73.958125 40.655755)
288374498,42,BRONX,06/11/2024,23:20:00,06/12/2024,07:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,107,FELONY,INSIDE,BURGLARY,(null),PATROL BORO BRONX,223.0,"BURGLARY,RESIDENCE,NIGHT",RESIDENCE - APT. HOUSE,06/12/2024,(null),UNKNOWN,UNKNOWN,U,,65+,WHITE HISPANIC,M,1011169.0,239384.0,40.823691,-73.902735,"(40.823691, -73.902735)",POINT (-73.902735 40.823691)
287963092,33,MANHATTAN,06/04/2024,00:10:00,06/04/2024,00:14:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,(null),PATROL BORO MAN NORTH,639.0,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,06/04/2024,(null),25-44,BLACK,F,,25-44,BLACK,M,1000275.0,243616.0,40.835332,-73.942089,"(40.835332, -73.942089)",POINT (-73.942089 40.835332)
281410009,84,BROOKLYN,12/18/2023,14:17:00,01/08/2024,09:11:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,(null),PATROL BORO BKLYN NORTH,639.0,AGGRAVATED HARASSMENT 2,(null),01/30/2024,(null),UNKNOWN,UNKNOWN,M,,45-64,BLACK,F,988048.0,191253.0,40.691623,-73.986302,"(40.691623, -73.986302)",POINT (-73.986302 40.691623)
288773484,67,BROOKLYN,06/16/2024,22:42:00,06/17/2024,02:05:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,(null),PATROL BORO BKLYN SOUTH,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,06/17/2024,(null),25-44,WHITE,F,,45-64,UNKNOWN,M,1004537.0,181012.0,40.663492,-73.926872,"(40.663492, -73.926872)",POINT (-73.926872 40.663492)
283092452,108,QUEENS,02/28/2024,12:34:00,02/28/2024,13:55:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO QUEENS NORTH,433.0,"LARCENY,GRAND FROM STORE-SHOPL",CHAIN STORE,03/02/2024,(null),UNKNOWN,WHITE HISPANIC,M,,UNKNOWN,UNKNOWN,D,1009619.0,203937.0,40.726401,-73.908469,"(40.726401, -73.908469)",POINT (-73.908469 40.726401)
281624961,115,QUEENS,02/03/2024,23:07:00,02/03/2024,23:10:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,(null),PATROL BORO QUEENS NORTH,333.0,"LARCENY,PETIT FROM STORE-SHOPL",GROCERY/BODEGA,02/03/2024,(null),(null),(null),(null),,UNKNOWN,UNKNOWN,D,1019557.0,212122.0,40.748832,-73.872573,"(40.748832, -73.872573)",POINT (-73.872573 40.748832)
288205840,101,QUEENS,06/09/2024,01:50:00,06/09/2024,02:04:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,347,MISDEMEANOR,(null),INTOXICATED & IMPAIRED DRIVING,(null),PATROL BORO QUEENS SOUTH,905.0,"INTOXICATED DRIVING,ALCOHOL",STREET,06/09/2024,(null),25-44,BLACK HISPANIC,F,,UNKNOWN,UNKNOWN,E,1052878.0,159521.0,40.60425884120742,-73.75285101018356,"(40.60425884120742, -73.75285101018356)",POINT (-73.75285101018356 40.60425884120742)
