the_geom,SEGMENTID,COMPLEXID,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
POINT (-73.9822459191015 40.76186746012952),34209,0,,2.0,1029150,6,1023157,1.0,01/17/2017 12:00:00 AM,01/17/2017 12:00:00 AM,7,OTHER,,1023178,BNP PARIBAS BANK
POINT (-73.97868571456623 40.725379380699984),301937,0,N,2.0,872,12,0,1.0,05/14/2009 12:00:00 AM,10/09/2020 12:00:00 AM,4,DPR,10125401.0,0,LA PLAZA CULTURAL ARMANDO PEREZ GARDEN
POINT (-73.86624899059213 40.87607179601638),9006925,177,,2.0,5191,2,2093518,2.0,05/14/2009 12:00:00 AM,12/26/2012 12:00:00 AM,5,DoITT,,5141662,VICTORY DAY CARE CENTER 3440 WHITE PLAINS RD
POINT (-74.117625853535 40.64018546072722),9007032,502,X,1.0,8680,2,5109864,5.0,05/14/2009 12:00:00 AM,02/06/2020 12:00:00 AM,1,DCP,53831729.0,5006125,MARKHAM GARDENS BUILDING 28
POINT (-73.92336939006377 40.83830288907465),71629,0,N,2.0,17532,5,0,2.0,05/14/2009 12:00:00 AM,08/12/2020 12:00:00 AM,13,DPR,20000201.0,0,MARTIN LUTHER KING TRI W 168 ST
POINT (-73.95495818133374 40.78076364981834),166056,0,,2.0,3295,1,1048064,1.0,05/14/2009 12:00:00 AM,04/20/2018 12:00:00 AM,9,NYPD,,5151936,IMMANUEL LUTHERAN CHURCH
POINT (-73.99907001822046 40.69257517445344),23675,0,,2.0,1035290,12,0,3.0,06/11/2020 12:00:00 AM,,4,OTHER,,0,WILLOWTOWN COMMUNITY GARDEN
POINT (-73.93660841236355 40.624347484551095),148792,487,X,1.0,6438,1,3339076,3.0,05/14/2009 12:00:00 AM,09/04/2018 12:00:00 AM,9,DCP,34109004.0,3272643,FLATLANDS REFORM GARAGE
POINT (-73.96178735920945 40.80825246654984),166324,521,X,2.0,13676,7,1084472,1.0,05/14/2009 12:00:00 AM,01/17/2019 12:00:00 AM,2,DoITT,11561502.0,1050765,COLUMBIA UNIVERSITY LOW MEMORIAL LIBRARY
POINT (-73.97753062633448 40.72541876573185),34602,0,N,2.0,859,1,0,1.0,05/14/2009 12:00:00 AM,10/09/2020 12:00:00 AM,4,DPR,10121401.0,0,9 ST COMMUNITY GARDEN PARK
POINT (-74.00742104466363 40.65194019366117),157845,0,N,2.0,10551,2,3010580,3.0,05/14/2009 12:00:00 AM,03/26/2020 12:00:00 AM,2,DOE,30024401.0,3014261,IS 136 CHARLES O DEWEY
POINT (-73.96008660819311 40.71101232107796),30770,0,,1.0,16777,3,3321304,3.0,05/14/2009 12:00:00 AM,02/15/2018 12:00:00 AM,5,DoITT,,3081478,LOS SURES DAVID SANTIAGO SENIOR CENTER
POINT (-73.84352098788257 40.71559043688084),112742,0,N,1.0,10530,1,4078312,4.0,05/14/2009 12:00:00 AM,05/28/2020 12:00:00 AM,2,DOE,41528501.0,86754,PS 101 SCHOOL IN THE GARDEN
POINT (-73.96897521674202 40.75278460302303),313114,0,,1.0,1025232,4,1038906,1.0,09/19/2014 12:00:00 AM,12/19/2017 12:00:00 AM,8,OTHER,,1032131,KAZAKHSTAN MISSION TO UN
POINT (-74.00388620596881 40.672692917994205),21702,5159,X,1.0,1036093,11,0,3.0,09/25/2020 12:00:00 AM,11/06/2020 12:00:00 AM,4,OTHER,31255508.0,0,RED HOOK PARK POOL
