CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50050945,YEMEN WHDAH,Brooklyn,6726,5 AVENUE,11220.0,7183335708,Middle Eastern,05/26/2022,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,57.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.634887026413,-74.020435799382,310.0,47.0,12600.0,3144718.0,3058550040.0,BK31,
50071988,HALSEY BAR & GRILL,Brooklyn,4404,AVENUE H,11234.0,3475872688,Caribbean,09/08/2022,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area.  Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,74.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.632487346249,-73.933971542939,318.0,45.0,72600.0,3214218.0,3077480041.0,BK58,
50069021,WAYPOINT CAFE NYC,Manhattan,65,LUDLOW STREET,10002.0,9144837042,Coffee/Tea,01/27/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,01/27/2023,11/30/2024,Cycle Inspection / Re-inspection,40.717250882856,-73.989812713595,103.0,1.0,1800.0,1081942.0,1004080021.0,MN27,
41428965,IGGY'S PIZZERIA,Manhattan,173,1 AVENUE,10003.0,2123533331,Pizza,02/27/2023,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,47.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.729157040439,-73.984160690966,103.0,2.0,4000.0,1006451.0,1004520032.0,MN22,
50003177,ASIA CHINESE RESTAURANT,Queens,63104,WOODHAVEN BLVD,11374.0,7184163333,Chinese,09/28/2023,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13.0,A,09/28/2023,11/30/2024,Cycle Inspection / Re-inspection,40.72185121758,-73.866924710612,405.0,30.0,67900.0,4070122.0,4030150032.0,QN21,
41569216,COCO FRESH TEA & JUICE,Manhattan,38,LEXINGTON AVENUE,10010.0,2128516618,Coffee/Tea,03/19/2024,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,03/19/2024,11/30/2024,Cycle Inspection / Re-inspection,40.74006750352,-73.984338519031,105.0,2.0,6800.0,1018058.0,1008790063.0,MN21,
41232504,FIG & OLIVE,Manhattan,420,WEST   13 STREET,10014.0,2129241200,Mediterranean,03/23/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,0.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.740614582341,-74.006740987896,102.0,3.0,7900.0,1080266.0,1006450029.0,MN23,
40884395,CARLOW EAST,Manhattan,1254,LEXINGTON AVENUE,10028.0,2127446397,American,09/09/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,31.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.77849511876,-73.956324648173,108.0,4.0,14801.0,1047701.0,1015130156.0,MN40,
50128989,TARTINERY,Manhattan,645,5TH AVE,10022.0,3475860500,French,05/24/2024,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,49.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.759125767491,-73.976407179257,105.0,4.0,10200.0,1035481.0,1012877501.0,MN17,
50080882,DUNKIN',Manhattan,875,3 AVENUE,10022.0,2126444385,Donuts,02/17/2023,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13.0,A,02/17/2023,11/30/2024,Cycle Inspection / Re-inspection,40.757595296037,-73.969452044335,106.0,4.0,9800.0,1038517.0,1013260001.0,MN19,
41721252,SANT AMBROEUS,Manhattan,265,LAFAYETTE STREET,10012.0,2129662770,Italian,03/04/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,03/04/2022,11/30/2024,Cycle Inspection / Re-inspection,40.723525823099,-73.996590688538,102.0,1.0,4300.0,1007524.0,1004950011.0,MN24,
50086945,GRACE CARIBBEAN CUISINE,Brooklyn,2026,NOSTRAND AVENUE,11210.0,3474351034,Caribbean,09/27/2021,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,46.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.635813007895,-73.947980219288,314.0,45.0,78600.0,3121727.0,3052520040.0,BK42,
50151755,STATEN ISLAND HOUSE OF WINGS II CORP,Staten Island,20,JEFFERSON BOULEVARD,10312.0,3474073847,,01/01/1900,,,,Not Applicable,,,,11/30/2024,,40.541046144751,-74.17793168121,503.0,51.0,17005.0,5157945.0,5062570015.0,SI01,
50072231,POLONICA,Brooklyn,8303,3 AVENUE,11209.0,7186305805,Polish,12/20/2023,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.62556907795,-74.030184690948,310.0,47.0,6200.0,3152410.0,3060170009.0,BK31,
50113015,JERRELL'S BETR BRGR,Manhattan,117,6 AVENUE,10013.0,3475228049,Vegan,04/12/2022,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,51.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.723800252927,-74.004729762755,102.0,1.0,3700.0,1088003.0,1004770064.0,MN24,
50004933,MEE NOODLE SHOP,Manhattan,223,1 AVENUE,10003.0,2122607838,Chinese,02/25/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,33.0,,,11/30/2024,Cycle Inspection / Initial Inspection,40.730864106929,-73.982922693026,103.0,2.0,4000.0,1006528.0,1004550040.0,MN22,
50081133,TACO INN,Manhattan,1495,SAINT NICHOLAS AVENUE,10033.0,9173882525,Tex-Mex,02/05/2020,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,9.0,A,02/05/2020,11/30/2024,Cycle Inspection / Initial Inspection,40.851603320565,-73.932068736195,112.0,10.0,27100.0,1063962.0,1021660016.0,MN35,
50121137,LA FONDA,Manhattan,169,EAST  106 STREET,10029.0,2124107292,Caribbean,05/23/2023,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,21.0,B,05/23/2023,11/30/2024,Pre-permit (Operational) / Re-inspection,40.791926058891,-73.945510319218,111.0,8.0,17200.0,1052064.0,1016340132.0,MN33,
50043941,CORK & KALE AT EVEN HOTEL,Manhattan,321,WEST   35 STREET,10001.0,2123560034,American,08/26/2024,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,17.0,B,08/26/2024,11/30/2024,Cycle Inspection / Re-inspection,40.753311893333,-73.994051780656,104.0,3.0,11100.0,1090836.0,1007590026.0,MN13,
