stop_id,stop_name,stop_lat,stop_lon,trains,structure,stop_id2,GEOID,NAMELSAD,geometry
A41,Jay St - MetroTech,40.692338,-73.987342,A C F,Subway,,36047,Kings County,POINT (-73.987342 40.692338000000056)
R23,Canal St,40.719527,-74.001775,R W,Subway,,36061,New York County,POINT (-74.001775 40.719527000000035)
A57,Grant Av,40.677044,-73.86505,A,Subway,,36047,Kings County,POINT (-73.86505 40.677044000000045)
Q05,96 St,40.784318,-73.947152,Q,Subway,,36061,New York County,POINT (-73.947152 40.78431800000005)
618,Brook Av,40.807566,-73.91924,6,Subway,,36005,Bronx County,POINT (-73.91924 40.80756600000004)
710,74 St - Broadway,40.746848,-73.89139399999999,7,Elevated,,36081,Queens County,POINT (-73.89139399999999 40.74684800000005)
R32,Union St,40.677316,-73.98311,R,Subway,,36047,Kings County,POINT (-73.98311 40.67731600000004)
D11,161 St - Yankee Stadium,40.827905,-73.925651,B D,Subway,,36005,Bronx County,POINT (-73.925651 40.827905000000044)
R03,Astoria Blvd,40.770258,-73.917843,N W,Elevated,,36081,Queens County,POINT (-73.917843 40.770258000000034)
G36,Fulton St,40.687119,-73.975375,G,Subway,,36047,Kings County,POINT (-73.975375 40.68711900000005)
B17,71 St,40.619589000000005,-73.998864,D,Elevated,,36047,Kings County,POINT (-73.998864 40.61958900000005)
623,110 St,40.79502,-73.94425,6,Subway,,36061,New York County,POINT (-73.94425 40.79502000000004)
L19,Halsey St,40.695602,-73.904084,L,Subway,,36081,Queens County,POINT (-73.904084 40.69560200000003)
R04,30 Av,40.766779,-73.921479,N W,Elevated,,36081,Queens County,POINT (-73.921479 40.76677900000005)
M13,Lorimer St,40.703869,-73.947408,J M,Elevated,,36047,Kings County,POINT (-73.947408 40.70386900000003)
R33,9 St,40.670847,-73.988302,R,Subway,,36047,Kings County,POINT (-73.988302 40.670847000000045)
614,Longwood Av,40.816104,-73.896435,6,Subway,,36005,Bronx County,POINT (-73.896435 40.81610400000004)
L20,Wilson Av,40.688764,-73.904046,L,Subway,,36047,Kings County,POINT (-73.904046 40.68876400000005)
J16,85 St - Forest Pkwy,40.692435,-73.86001,J,Elevated,,36081,Queens County,POINT (-73.86001 40.692435000000046)
L13,Montrose Av,40.707739,-73.93985,L,Subway,,36047,Kings County,POINT (-73.93985 40.70773900000004)
S26,Old Town,40.596612,-74.08736800000001,SIR,Embankment,,36085,Richmond County,POINT (-74.08736800000001 40.59661200000004)
B08,Lexington Av/63 St,40.764629,-73.966113,F Q,Subway,,36061,New York County,POINT (-73.966113 40.76462900000004)
J27,Broadway Jct,40.679498,-73.904512,J Z,Elevated,,36047,Kings County,POINT (-73.904512 40.67949800000003)
608,Parkchester,40.833226,-73.860816,6,Elevated,,36005,Bronx County,POINT (-73.860816 40.83322600000005)
128,34 St - Penn Station,40.750373,-73.991057,1 2 3,Subway,,36061,New York County,POINT (-73.991057 40.75037300000004)
208,Gun Hill Rd,40.87785,-73.866256,2 5,Elevated,,36005,Bronx County,POINT (-73.866256 40.87785000000004)
M12,Flushing Av,40.70026,-73.941126,J M,Elevated,,36047,Kings County,POINT (-73.941126 40.70026000000004)
N05,18 Av,40.620671,-73.990414,N,Open Cut,,36047,Kings County,POINT (-73.990414 40.620671000000044)
619,3 Av - 138 St,40.810476,-73.926138,6,Subway,,36005,Bronx County,POINT (-73.926138 40.810476000000016)
238,Eastern Pkwy - Brooklyn Museum,40.671987,-73.964375,2 3,Subway,,36047,Kings County,POINT (-73.964375 40.671987000000044)
224,135 St,40.814229,-73.94077,2 3,Subway,,36061,New York County,POINT (-73.94077 40.814229000000026)
L15,Jefferson St,40.706607,-73.922913,L,Subway,,36047,Kings County,POINT (-73.922913 40.70660700000003)
610,Morrison Av- Sound View,40.829521,-73.874516,6,Elevated,,36005,Bronx County,POINT (-73.874516 40.82952100000004)
636,Astor Pl,40.730054,-73.99107,6,Subway,,36061,New York County,POINT (-73.99107 40.73005400000003)
N07,Bay Pkwy,40.611815,-73.981848,N,Open Cut,,36047,Kings County,POINT (-73.981848 40.61181500000005)
413,167 St,40.835537,-73.9214,4,Elevated,,36005,Bronx County,POINT (-73.9214 40.835537000000045)
